Land_size_for_Crop_Agriculture_Acres,hh_size,hhh_age,number_perennial_grown,HH Income + Production/Day  (USD),business_number,composts,water_control_practise,postharvest_food_storage,hhh_read_write,Material_walls,bicycle_owned,seasonal_crops_planted,grow_vegetables,season2_crops_planted,work_casual,radios_owned,non_bio_waste_mgt_method,save_mode_7,tippy_tap_present,soil_mgt_methods,hh_produce_lq_manure,Access to electricity,ProgressStatus
0.5,3.0,64.0,0.0,1.166975194372455,0,0,1,1,1,1,0,3.0,1,3.0,0,1,2,0,0.0,1 2 4,0,1,Struggling
1.0,5.0,32.0,3.0,1.2032580525731211,0,0,1,0,1,1,0,2.0,0,3.0,0,1,2,0,1.0,1 2 3,0,0,Struggling
0.9,2.0,57.0,0.0,1.0318400592373196,0,0,0,0,0,1,0,3.0,1,3.0,1,0,1,0,0.0,1 2,0,1,Struggling
1.0,7.0,55.0,3.0,1.4772306553128471,0,0,0,1,1,1,0,4.0,0,2.0,0,1,1 2,0,0.0,-99,0,0,Struggling
0.9,2.0,70.0,1.0,1.2869307663828211,0,0,1,1,0,1,0,3.0,1,3.0,0,1,1,0,0.0,1 2 3 4,0,0,Struggling
1.0,4.0,52.0,3.0,0.9096630877452796,0,1,1,0,1,1,0,2.0,1,3.0,0,0,97,0,1.0,1 2 3 4 5,0,0,Struggling
2.5,6.0,38.0,3.0,1.4941132913735655,0,0,1,1,1,1,0,2.0,1,3.0,1,1,2,0,1.0,1 2 3,0,0,Struggling
0.8,6.0,34.0,2.0,1.0144390966308776,0,0,1,1,1,1,0,3.0,1,2.0,1,1,3,0,0.0,1 2 3 4 5,0,1,Struggling
0.5,4.0,32.0,1.0,0.4261384672343576,0,0,0,1,1,1,1,3.0,1,1.0,1,1,1,0,1.0,1,1,1,Struggling
1.75,3.0,75.0,2.0,1.632728619029989,0,0,0,0,0,1,0,2.0,1,3.0,0,1,3,0,0.0,1 2 3 4 5,1,0,Struggling
1.6,6.0,65.0,3.0,1.3032210292484263,0,0,1,1,1,1,0,3.0,1,2.0,1,0,3,0,0.0,1,0,1,Struggling
0.9,6.0,38.0,2.0,1.6427249166975193,0,0,0,1,1,1,0,3.0,1,3.0,1,1,1,0,0.0,1 2 4,0,1,Struggling
2.0,5.0,38.0,3.0,1.643835616438356,0,0,1,1,1,1,0,3.0,0,3.0,1,1,2,0,0.0,1 2 3 4 97,1,1,Struggling
1.0,2.0,25.0,2.0,1.6465753424657534,0,0,1,0,1,1,0,4.0,1,3.0,1,1,97,0,0.0,2 4,0,1,Struggling
0.3,7.0,40.0,2.0,1.6693817104776008,0,0,0,1,1,1,0,3.0,1,3.0,1,0,3,0,0.0,1 2 4,0,1,Struggling
0.8,7.0,52.0,3.0,1.3172898926323584,0,0,1,1,1,1,0,3.0,1,2.0,1,1,3,0,1.0,1 2 3 4 5,0,1,Struggling
1.0,4.0,62.0,2.0,1.4542761940022213,0,0,0,1,0,1,0,2.0,0,2.0,1,0,3,0,0.0,1,0,0,Struggling
0.8,3.0,27.0,2.0,1.3654202147352832,0,0,0,1,1,1,0,5.0,1,2.0,1,0,3,0,0.0,1 2 3 4,0,1,Struggling
0.8,5.0,38.0,4.0,1.0414661236579046,0,0,0,1,1,2,0,3.0,1,1.0,1,1,97,0,0.0,1 2,0,0,Struggling
1.0,5.0,36.0,2.0,1.506108848574602,0,0,1,1,1,1,0,3.0,0,3.0,1,1,3,0,0.0,1 2 3 4,0,1,Struggling
0.3,5.0,32.0,3.0,1.890040725657164,0,0,1,0,1,1,0,2.0,1,4.0,1,0,3,0,0.0,1 5,0,1,Struggling
0.6,5.0,43.0,3.0,1.4542761940022213,0,0,1,1,0,1,0,4.0,1,3.0,1,0,3,0,0.0,1 2 3 4 5,0,1,Struggling
0.7,5.0,60.0,2.0,1.7023324694557571,0,0,1,1,1,1,0,2.0,1,1.0,1,1,2 3,0,0.0,1 2 4,0,1,Struggling
0.85,6.0,55.0,1.0,1.9474268789337283,0,0,1,0,0,1,0,2.0,0,2.0,1,0,3,0,1.0,1 2 3 5,0,1,Struggling
3.5,6.0,49.0,1.0,1.970381340244354,0,0,0,0,1,1,0,3.0,1,2.0,0,1,3,0,0.0,1 2 3 4 5,0,0,Struggling
1.0,2.0,69.0,3.0,1.9718622732321365,0,0,1,0,1,1,0,2.0,1,1.0,0,1,2,0,0.0,1 2,0,1,Struggling
0.75,4.0,55.0,1.0,1.7097371343946686,0,0,1,0,1,1,0,3.0,0,3.0,1,1,3,0,0.0,1 2 4,0,1,Struggling
1.85,2.0,78.0,4.0,2.0273972602739727,0,0,1,1,1,1,0,3.0,1,3.0,1,1,3 97,0,0.0,1 2 3,0,1,Struggling
0.8,7.0,36.0,2.0,2.039985190670122,0,0,1,1,1,1,0,2.0,0,2.0,1,1,3,0,0.0,1 2 3 4 5,0,1,Struggling
1.5,4.0,32.0,1.0,2.047019622362088,1,0,0,0,1,1,0,3.0,1,3.0,0,1,97,0,0.0,1 2,0,0,Struggling
1.0,6.0,45.0,3.0,1.7001110699740838,0,1,1,1,0,1,0,3.0,1,3.0,1,1,97,0,1.0,1 2 3 4 5,0,0,Struggling
0.8,6.0,52.0,1.0,0.6690114772306553,0,0,1,1,1,1,0,1.0,1,2.0,1,0,3,0,1.0,1 2 3 4 5,0,1,Struggling
1.0,3.0,59.0,1.0,0.9181784524250276,0,0,0,1,1,2,0,2.0,0,3.0,0,1,1,0,0.0,1 2 5,0,0,Struggling
0.8,5.0,38.0,1.0,2.2286560533135877,0,0,1,1,1,1,0,4.0,1,4.0,0,1,2,0,0.0,1 2 3 4,0,0,Struggling
0.5,4.0,33.0,1.0,2.0125879303961494,0,0,0,0,1,1,0,1.0,0,1.0,1,1,3,0,0.0,2,0,1,Struggling
1.0,5.0,63.0,2.0,1.1403184005923732,0,0,1,1,1,1,0,4.0,1,3.0,0,1,97,0,1.0,1 2 3 4 5,0,1,Struggling
2.0,7.0,54.0,5.0,2.165272121436505,0,0,1,1,1,1,0,4.0,1,4.0,1,1,97,0,0.0,1 2 3 4,0,0,Struggling
2.0,5.0,50.0,3.0,2.0277674935209182,0,0,1,1,1,1,0,5.0,1,4.0,0,1,2 3,0,1.0,1 2 3 4 5,0,0,Struggling
1.0,6.0,36.0,1.0,2.0288781932617552,0,0,1,1,1,1,0,2.0,0,2.0,1,0,1,0,0.0,1 2 3 4,0,1,Struggling
1.0,7.0,40.0,3.0,0.9155868196964086,0,0,0,1,1,1,0,3.0,1,2.0,1,1,97,0,1.0,1 2 3 4 5,0,1,Struggling
2.4,6.0,52.0,2.0,2.364309514994446,0,0,1,0,0,1,0,3.0,1,3.0,1,0,1,0,0.0,2,0,1,Struggling
1.0,9.0,56.0,3.0,2.376156978896705,0,0,1,1,1,1,0,2.0,0,2.0,1,0,2 3,0,0.0,1 2 3 4,0,1,Struggling
1.5,4.0,50.0,1.0,2.4331728989263235,0,0,1,0,1,1,0,3.0,1,2.0,1,0,3,0,1.0,1 2 3 5,0,0,Struggling
0.5,3.0,54.0,3.0,1.135135135135135,0,0,1,0,0,1,0,3.0,0,3.0,0,1,3,0,0.0,2 4 5,0,0,Struggling
0.8,6.0,52.0,2.0,1.116993706034802,0,0,1,1,1,1,0,3.0,1,2.0,0,1,3,0,1.0,1 2 3 4 5,0,1,Struggling
2.7,6.0,42.0,1.0,1.2069603850425767,0,0,0,1,1,1,1,2.0,0,1.0,0,1,2,0,0.0,1 2,0,0,Struggling
2.8,3.0,79.0,3.0,1.3061828952239911,0,0,1,1,1,1,0,3.0,0,4.0,0,1,2 3,0,0.0,1 2 3 4,0,1,Struggling
2.0,2.0,60.0,1.0,0.266271751203258,0,0,1,1,0,1,0,3.0,0,2.0,0,0,1,0,0.0,1 2 3,0,1,Struggling
1.0,7.0,47.0,0.0,1.5275823768974457,0,0,1,0,1,1,0,4.0,1,4.0,0,1,1,0,0.0,1 2 3 4 5,0,0,Struggling
1.5,7.0,40.0,1.0,2.700481303221029,0,0,0,1,1,2,0,4.0,0,3.0,0,1,1,0,1.0,1 2,0,1,Struggling
1.5,4.0,30.0,4.0,2.742687893372825,0,0,1,1,1,1,0,5.0,1,4.0,1,1,2 3,0,0.0,1 2 3 4 5,0,1,Struggling
4.0,4.0,69.0,1.0,1.9881525360977417,0,0,0,1,1,1,1,3.0,1,2.0,0,1,1,0,1.0,1,0,1,Struggling
0.75,2.0,69.0,2.0,0.9474268789337282,0,0,1,1,1,1,0,3.0,1,2.0,0,1,2,0,0.0,1 2 3 4 5,0,0,Struggling
0.65,3.0,29.0,4.0,2.3313587560162903,0,0,0,0,1,1,0,3.0,0,4.0,1,0,97,0,0.0,1 2 3 4,0,0,Struggling
0.125,1.0,36.0,1.0,1.1218067382450945,0,0,1,1,1,1,0,4.0,1,3.0,0,0,2 3,0,0.0,1 2 3 4 5,0,1,Struggling
0.8,6.0,64.0,2.0,2.807848944835246,0,0,0,1,1,1,0,3.0,1,4.0,1,0,3,0,0.0,1 2 4,0,1,Struggling
3.8,4.0,39.0,5.0,2.0155497963717144,0,0,1,1,1,1,0,3.0,1,5.0,0,1,2,0,0.0,1 2 3 4,0,1,Struggling
1.3,8.0,52.0,7.0,2.2910033320992227,0,0,1,1,1,1,0,5.0,1,4.0,0,0,97,0,0.0,1 2 3 4,0,1,Struggling
0.8,5.0,42.0,2.0,2.2106627175120326,0,0,1,1,1,1,0,3.0,1,2.0,1,1,3,0,0.0,1 2 3 4,0,0,Struggling
1.75,3.0,80.0,2.0,1.3469085523880044,0,0,1,1,0,1,0,4.0,1,4.0,1,1,2 3,0,0.0,2 3 4 5,0,0,Struggling
2.0,3.0,85.0,0.0,2.998889300259163,0,0,1,1,0,2,0,6.0,0,3.0,0,1,1,0,0.0,1 2 3 4 5,1,0,Struggling
1.3,5.0,38.0,7.0,1.8061458718992969,0,0,1,1,1,2,0,4.0,1,1.0,0,1,3 97,0,1.0,1 2 3 5,0,0,Struggling
1.6,6.0,45.0,2.0,1.229470566456868,0,0,1,1,1,1,0,2.0,0,2.0,1,1,2,0,1.0,1 2,0,1,Struggling
1.25,3.0,73.0,2.0,1.8907811921510551,0,0,1,1,0,2,0,4.0,0,3.0,0,0,2,0,0.0,1 2 3 4 5,0,0,Struggling
2.6,4.0,70.0,4.0,2.432062199185487,0,0,1,1,1,1,0,5.0,1,5.0,0,0,3,0,0.0,1 2 3 4,0,0,Struggling
2.0,4.0,33.0,4.0,2.942910033320992,0,0,1,1,1,1,1,5.0,1,3.0,0,0,1,0,0.0,1 4 5,1,0,Struggling
1.5,4.0,35.0,2.0,3.051462421325435,0,0,1,1,1,1,0,4.0,1,4.0,1,0,1,0,0.0,1 2 3 4,0,1,On Track
1.9,6.0,36.0,2.0,2.3857830433172897,1,0,0,0,1,1,1,2.0,0,3.0,0,1,1,0,0.0,1 2 4 5,0,0,Struggling
0.25,6.0,45.0,2.0,3.082932247315809,1,0,1,0,1,1,0,2.0,1,2.0,0,1,97,0,0.0,1 2 3 4,0,1,On Track
1.9,7.0,57.0,2.0,1.323583857830433,0,0,1,0,1,1,0,3.0,1,3.0,1,0,1,0,0.0,2 5,0,1,Struggling
4.7,7.0,57.0,3.0,2.6767863754165124,0,0,1,1,1,1,1,3.0,0,2.0,0,1,3,0,1.0,1 2 4,0,1,Struggling
0.5,6.0,38.0,3.0,1.7201036653091448,0,0,1,1,1,2,0,4.0,1,2.0,1,1,97,0,0.0,1 2 3 4 5,0,0,Struggling
1.0,5.0,36.0,1.0,1.8304331728989265,0,0,0,1,1,1,0,3.0,0,2.0,0,1,3,0,0.0,1,0,0,Struggling
1.5,6.0,62.0,4.0,1.5012958163643095,0,1,1,1,1,2,0,4.0,1,2.0,0,0,2 3,0,0.0,1 2 3 4 5,0,0,Struggling
0.5,4.0,80.0,5.0,3.1814142910033323,0,0,1,0,0,1,0,2.0,1,3.0,1,0,3,0,0.0,2 5,0,1,On Track
1.0,6.0,49.0,1.0,1.0625694187338022,0,0,0,1,1,1,0,4.0,0,2.0,1,1,3,0,0.0,1 2 3 4 5,0,0,Struggling
4.7,6.0,60.0,3.0,2.517586079229915,0,0,1,1,1,1,1,3.0,0,4.0,0,1,2,0,0.0,1 2 3 4,0,0,Struggling
1.7,6.0,52.0,2.0,2.378748611625324,0,0,1,1,1,1,0,4.0,1,3.0,1,1,2,0,0.0,1 2 3 4,0,0,Struggling
2.0,6.0,56.0,1.0,1.7082562014068865,0,0,0,1,1,1,1,2.0,0,3.0,0,1,1,0,1.0,1 2 5,0,0,Struggling
2.5,3.0,70.0,4.0,1.7534246575342467,0,0,0,1,1,1,0,2.0,1,2.0,1,0,1 97,0,1.0,1,0,1,Struggling
0.7,5.0,42.0,3.0,1.6882636060718252,1,0,0,0,1,2,0,4.0,1,4.0,0,0,1 3,0,0.0,1 2 3 5,0,0,Struggling
2.0,7.0,62.0,2.0,1.9540910773787483,0,0,1,1,1,1,0,3.0,1,2.0,1,1,1,0,0.0,1 2 3,0,0,Struggling
0.8,6.0,53.0,2.0,1.2543502406516107,0,0,1,1,1,1,0,4.0,1,2.0,1,0,3,0,0.0,1 2 3 4 5,0,1,Struggling
0.8,3.0,36.0,2.0,3.52388004442799,1,0,1,1,0,1,0,3.0,1,3.0,0,0,2,0,0.0,1 2 3 4,0,0,On Track
0.25,6.0,37.0,2.0,2.451314328026657,0,0,1,1,1,1,0,3.0,0,2.0,1,1,2,0,0.0,1 2 3 4 5,1,1,Struggling
2.0,3.0,97.5,0.0,3.5638652350981115,0,0,1,1,0,1,0,4.0,1,3.0,0,0,1 2,0,1.0,1 2 3 4 5,1,0,On Track
0.5,7.0,37.0,2.0,1.8004442798963347,0,0,0,1,1,1,0,4.0,1,3.0,1,1,3,0,1.0,1 2 3,0,1,Struggling
1.5,5.0,38.0,0.0,3.5771936319881528,0,0,1,1,1,1,0,4.0,1,4.0,1,1,1,0,0.0,2 3 4 5,0,0,On Track
1.5,7.0,37.0,2.0,1.7927434283598669,0,0,0,1,1,1,0,2.0,0,3.0,1,0,1,0,0.0,2,0,1,Struggling
2.8,3.0,48.0,1.0,2.456497593483894,0,0,0,1,0,1,0,2.0,0,1.0,0,1,3,0,1.0,1 2 4,0,1,Struggling
3.0,3.0,49.0,2.0,1.990373935579415,0,0,1,1,1,1,0,4.0,1,1.0,1,1,1,0,0.0,1 2 3 4 5,0,0,Struggling
1.75,6.0,32.0,0.0,3.674194742687893,1,0,0,0,0,2,1,4.0,0,2.0,1,0,1,0,0.0,2,0,0,On Track
0.8,6.0,36.0,2.0,1.100333209922251,0,0,1,1,1,1,1,4.0,1,3.0,1,0,3,0,0.0,1 2 3 4 5,0,1,Struggling
0.8,4.0,65.0,2.0,2.0355423917067754,0,0,1,0,1,1,0,4.0,0,5.0,0,0,2,0,0.0,2 5,0,1,Struggling
4.8,4.0,72.0,0.0,3.058867086264346,0,0,0,0,1,2,0,3.0,0,3.0,0,1,97,0,0.0,1 2 4,0,0,On Track
1.0,5.0,46.0,4.0,2.1905220288781933,0,0,1,0,1,1,0,4.0,1,3.0,1,0,3,0,0.0,1 2 3 4,0,0,Struggling
2.0,5.0,40.0,2.0,3.472047389855609,0,0,1,0,1,1,1,3.0,1,2.0,0,0,2 3,0,0.0,2 5,0,0,On Track
1.0,7.0,62.0,1.0,2.350981118104406,0,0,0,1,1,2,0,2.0,0,1.0,0,1,3,0,1.0,1,0,0,Struggling
1.8,6.0,33.0,4.0,2.258422806368012,0,0,1,0,1,1,0,2.0,0,3.0,1,1,2,0,1.0,2 4 5,0,0,Struggling
2.0,8.0,58.0,4.0,2.4246575342465757,0,0,1,0,1,1,0,2.0,1,4.0,1,0,3,0,0.0,1 2 3 4,0,1,Struggling
1.0,3.0,67.0,2.0,2.6356904850055534,0,0,0,1,1,1,0,4.0,1,3.0,0,1,97,0,0.0,1 2 3 4 5,0,0,Struggling
1.5,1.0,30.0,3.0,3.9618659755646055,0,0,1,1,1,1,0,4.0,1,3.0,1,1,2 3,0,0.0,1 2 3 4 5,0,1,On Track
1.5,4.0,28.0,1.0,2.571640133283969,0,0,0,1,1,2,0,2.0,0,2.0,1,1,3,0,0.0,1,0,0,Struggling
0.75,2.0,54.0,3.0,0.1747500925583117,0,0,1,1,1,1,0,1.0,0,1.0,0,1,1 2,0,0.0,1 2 4,0,0,Struggling
1.0,3.0,27.0,1.0,3.854128100703443,1,0,1,0,1,1,0,3.0,1,3.0,1,0,1,0,0.0,1 2 4,0,1,On Track
1.5,5.0,27.0,2.0,4.035542391706775,0,0,1,0,1,2,0,3.0,0,3.0,0,1,1,0,0.0,1 2,0,1,On Track
4.8,5.0,68.0,5.0,3.797704553868937,0,0,1,0,1,2,0,5.0,1,3.0,1,1,97,0,0.0,1 2 3 4 5 97,0,0,On Track
0.3,5.0,37.0,2.0,4.271751203258052,0,0,1,1,1,1,0,2.0,1,2.0,1,1,97,0,0.0,1 2 3 4 5,0,1,On Track
1.5,4.0,68.0,2.0,4.276194002221399,0,0,1,1,1,1,0,4.0,1,4.0,1,1,1,0,0.0,1 2 3,0,1,On Track
1.5,7.0,45.0,2.0,4.30877452795261,0,0,1,1,1,1,0,4.0,1,4.0,1,1,1,0,0.0,1 2 3 4 5,1,1,On Track
1.0,6.0,48.0,2.0,3.319511292114032,0,0,0,0,1,1,1,3.0,0,3.0,1,1,1,0,1.0,2 3,0,1,On Track
2.5,6.0,33.0,3.0,1.4883376527212144,0,1,1,1,1,1,0,4.0,1,3.0,0,1,2 3,0,1.0,1 2 3 4 5,0,0,Struggling
1.8,8.0,46.0,3.0,1.270640503517216,0,0,0,1,1,1,0,4.0,1,3.0,0,1,1,0,1.0,1 2 3 4,0,0,Struggling
1.2,7.0,45.0,3.0,3.35523880044428,0,0,1,1,0,1,0,5.0,1,4.0,1,0,1 3,0,0.0,1 2 3 4 5,0,1,On Track
1.0,5.0,60.0,1.0,1.3839318770825622,0,0,1,0,1,1,1,2.0,1,2.0,0,1,2,0,0.0,2 5,0,0,Struggling
0.0,7.0,39.0,3.0,3.246945575712699,1,0,1,1,1,1,0,3.0,1,4.0,0,1,1,0,0.0,1 2,1,0,On Track
2.5,4.0,62.0,2.0,3.388374676045909,0,0,1,0,1,2,0,3.0,1,2.0,1,1,3,0,0.0,1 2 3,0,0,On Track
1.5,3.0,66.0,3.0,3.859311366160681,0,0,1,0,1,1,0,5.0,1,3.0,0,1,2 3,0,1.0,4,1,1,On Track
2.5,7.0,55.0,0.0,3.96149574231766,0,1,1,1,1,1,0,3.0,1,4.0,1,1,1,0,1.0,1 2 3 4 5,0,0,On Track
0.75,7.0,40.0,1.0,3.3135875601629023,1,0,1,1,1,2,1,3.0,1,3.0,0,1,2,0,0.0,1 2 3 4 5 97,1,1,On Track
1.0,4.0,37.0,3.0,3.3735653461680863,0,1,1,1,1,1,0,4.0,1,3.0,0,1,2,0,1.0,1 2 3 4 5,0,0,On Track
2.0,7.0,54.0,4.0,2.5538689374305816,0,0,1,0,1,1,0,3.0,0,2.0,0,1,1,0,0.0,1 2 3 4,0,1,Struggling
2.5,5.0,41.0,3.0,3.77156608663458,0,0,1,1,1,1,0,4.0,1,3.0,1,1,1,0,0.0,1 3 4,1,1,On Track
1.5,5.0,65.0,1.0,3.2968530174009625,0,0,1,1,1,1,0,3.0,1,3.0,1,0,3,0,0.0,1 2 3 4,0,1,On Track
1.9,6.0,42.0,2.0,4.785634950018511,0,0,0,0,0,2,0,4.0,0,3.0,1,0,2,0,0.0,2 3,0,1,On Track
2.75,4.0,65.0,4.0,5.267308404294705,1,0,1,1,1,1,0,3.0,1,3.0,1,1,1 2 3,0,0.0,1 2 3 4 5,1,0,On Track
1.8,6.0,60.0,4.0,4.809626064420584,0,0,0,1,1,1,0,3.0,1,4.0,0,1,3,0,1.0,1 2 3 4,0,0,On Track
2.5,5.0,38.0,1.0,4.216956682710108,0,0,0,1,0,1,0,4.0,1,2.0,1,1,3,0,0.0,1,0,0,On Track
0.75,3.0,27.0,4.0,5.749953720844132,0,0,0,1,1,1,1,3.0,0,1.0,0,0,1,0,0.0,1 2 3 4 5,1,1,On Track
0.8,5.0,75.0,2.0,3.5749722325064788,1,0,1,1,0,1,0,3.0,1,4.0,1,0,97,0,0.0,1 2,0,0,On Track
3.5,4.0,45.0,3.0,4.625694187338023,1,0,1,1,1,1,0,3.0,1,4.0,0,1,3,1,0.0,1 2 3 4,1,0,On Track
1.1,7.0,40.0,2.0,3.6945575712699,0,0,1,1,1,1,0,4.0,1,3.0,1,0,3 97,0,0.0,1 2 3 4 5,0,0,On Track
1.5,7.0,45.0,5.0,5.749953720844132,1,0,1,1,1,1,0,4.0,1,4.0,0,1,3,0,0.0,1 2 3 4,1,0,On Track
4.0,5.0,48.0,3.0,4.248056275453536,1,0,0,1,0,1,0,2.0,0,2.0,0,1,3,0,0.0,1,0,0,On Track
4.8,2.0,64.0,3.0,3.853387634209552,1,0,1,1,1,1,0,3.0,1,4.0,0,1,3,1,0.0,1 2 3 5,1,0,On Track
